building_name,beds,baths,price
Anagram Nomad,1bed,1bath,5440
Anagram Nomad,2beds,2baths,8514
Anagram Nomad,3beds,3baths,14748
Herald Towers,1bed,1bath,4200
Herald Towers,studio,1bath,3475
Hollingsworth,1bed,1bath,5000
Hollingsworth,2beds,2baths,8995
Hollingsworth,studio,1bath,3995
The Epic,1bed,1bath,4995
